TOP.67ab39e8.00029e4c	START
TOP.67ab3d80.000db6ca	folder_config->shared_dir	.
TOP.67ab3d80.000db6ca	user_options->encoding_from	utf-8
TOP.67ab3d80.000db6ca	user_options->encoding_to	utf-8
TOP.67ab3d80.000db6ca	user_options->rule_buf_l	:
TOP.67ab3d80.000db6ca	user_options->rule_buf_r	:
TOP.67ab3d80.000db6ca	user_options->session	hashcat
TOP.67ab3d80.000db6ca	user_options->separator	:
TOP.67ab3d80.000db6ca	user_options->limit	0
TOP.67ab3d80.000db6ca	user_options->skip	0
TOP.67ab3d80.000db6ca	user_options->attack_mode	3
TOP.67ab3d80.000db6ca	user_options->benchmark	0
TOP.67ab3d80.000db6ca	user_options->benchmark_all	0
TOP.67ab3d80.000db6ca	user_options->bitmap_max	18
TOP.67ab3d80.000db6ca	user_options->bitmap_min	16
TOP.67ab3d80.000db6ca	user_options->debug_mode	0
TOP.67ab3d80.000db6ca	user_options->hash_info	0
TOP.67ab3d80.000db6ca	user_options->force	0
TOP.67ab3d80.000db6ca	user_options->hwmon_disable	0
TOP.67ab3d80.000db6ca	user_options->hwmon_temp_abort	90
TOP.67ab3d80.000db6ca	user_options->hash_mode	22000
TOP.67ab3d80.000db6ca	user_options->hex_charset	0
TOP.67ab3d80.000db6ca	user_options->hex_salt	0
TOP.67ab3d80.000db6ca	user_options->hex_wordlist	0
TOP.67ab3d80.000db6ca	user_options->hook_threads	16
TOP.67ab3d80.000db6ca	user_options->identify	0
TOP.67ab3d80.000db6ca	user_options->increment	0
TOP.67ab3d80.000db6ca	user_options->increment_max	256
TOP.67ab3d80.000db6ca	user_options->increment_min	1
TOP.67ab3d80.000db6ca	user_options->keep_guessing	0
TOP.67ab3d80.000db6ca	user_options->kernel_accel	0
TOP.67ab3d80.000db6ca	user_options->kernel_loops	0
TOP.67ab3d80.000db6ca	user_options->kernel_threads	0
TOP.67ab3d80.000db6ca	user_options->keyspace	0
TOP.67ab3d80.000db6ca	user_options->left	0
